Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-29,163.91186214251,169.68628143279,162.00178560701,167.80325980573,27106.581258312
2007-01-30,168.21118770291,168.80699690866,165.00999081487,168.00466856852,14544.341965792
2007-01-31,165.98306568825,169.68628143279,165.98306568825,168.00466856852,14835.657078474
2007-02-01,169.68628143279,171.90298026389,168.99578004752,170.09450994007,19274.978190725
2007-02-02,171.49024260521,176.99772013227,170.99964693226,175.50068186554,10321.834245216
2007-02-05,175.00287155034,178.2218044339,174.00093810797,176.4981061565,9005.339762023
2007-02-06,176.4981061565,176.99772013227,174.00093810797,175.50068186554,4001.679266093
2007-02-07,172.60670849329,175.00287155034,171.11387876787,173.00140954634,9811.02903232
2007-02-08,171.98805292041,171.98805292041,158.61060313975,164.49023596283,26662.693758896
2007-02-09,163.09600634815,167.48701798713,163.09600634815,164.58613058273,14209.753398393
